Date_reported;Country_code;Country;WHO_region;New_cases;Cumulative_cases;New_deaths;Cumulative_deaths
3/01/2020;DE;Germany;EURO;0;0;0;0
4/01/2020;DE;Germany;EURO;1;1;0;0
5/01/2020;DE;Germany;EURO;0;1;3;3
6/01/2020;DE;Germany;EURO;0;1;0;3
7/01/2020;DE;Germany;EURO;0;1;0;3
8/01/2020;DE;Germany;EURO;0;1;0;3
9/01/2020;DE;Germany;EURO;0;1;0;3
10/01/2020;DE;Germany;EURO;0;1;0;3
11/01/2020;DE;Germany;EURO;0;1;0;3
12/01/2020;DE;Germany;EURO;0;1;0;3
13/01/2020;DE;Germany;EURO;0;1;0;3
14/01/2020;DE;Germany;EURO;0;1;0;3
15/01/2020;DE;Germany;EURO;0;1;0;3
16/01/2020;DE;Germany;EURO;0;1;0;3
17/01/2020;DE;Germany;EURO;0;1;0;3
18/01/2020;DE;Germany;EURO;0;1;0;3
19/01/2020;DE;Germany;EURO;0;1;0;3
20/01/2020;DE;Germany;EURO;0;1;0;3
21/01/2020;DE;Germany;EURO;0;1;0;3
22/01/2020;DE;Germany;EURO;0;1;0;3
23/01/2020;DE;Germany;EURO;0;1;0;3
24/01/2020;DE;Germany;EURO;0;1;0;3
25/01/2020;DE;Germany;EURO;0;1;0;3
26/01/2020;DE;Germany;EURO;1;2;3;6
27/01/2020;DE;Germany;EURO;0;2;0;6
28/01/2020;DE;Germany;EURO;0;2;0;6
29/01/2020;DE;Germany;EURO;0;2;0;6
30/01/2020;DE;Germany;EURO;0;2;0;6
31/01/2020;DE;Germany;EURO;0;2;0;6
1/02/2020;DE;Germany;EURO;0;2;0;6
2/02/2020;DE;Germany;EURO;9;11;3;9
3/02/2020;DE;Germany;EURO;0;11;0;9
4/02/2020;DE;Germany;EURO;0;11;0;9
5/02/2020;DE;Germany;EURO;0;11;0;9
6/02/2020;DE;Germany;EURO;0;11;0;9
7/02/2020;DE;Germany;EURO;0;11;0;9
8/02/2020;DE;Germany;EURO;0;11;0;9
9/02/2020;DE;Germany;EURO;9;20;0;9
10/02/2020;DE;Germany;EURO;0;20;0;9
11/02/2020;DE;Germany;EURO;0;20;0;9
12/02/2020;DE;Germany;EURO;0;20;0;9
13/02/2020;DE;Germany;EURO;0;20;0;9
14/02/2020;DE;Germany;EURO;0;20;0;9
15/02/2020;DE;Germany;EURO;0;20;0;9
16/02/2020;DE;Germany;EURO;5;25;0;9
17/02/2020;DE;Germany;EURO;0;25;0;9
18/02/2020;DE;Germany;EURO;0;25;0;9
19/02/2020;DE;Germany;EURO;0;25;0;9
20/02/2020;DE;Germany;EURO;0;25;0;9
21/02/2020;DE;Germany;EURO;0;25;0;9
22/02/2020;DE;Germany;EURO;0;25;0;9
23/02/2020;DE;Germany;EURO;6;31;1;10
24/02/2020;DE;Germany;EURO;0;31;0;10
25/02/2020;DE;Germany;EURO;0;31;0;10
26/02/2020;DE;Germany;EURO;0;31;0;10
27/02/2020;DE;Germany;EURO;0;31;0;10
28/02/2020;DE;Germany;EURO;0;31;0;10
29/02/2020;DE;Germany;EURO;0;31;0;10
1/03/2020;DE;Germany;EURO;139;170;1;11
2/03/2020;DE;Germany;EURO;0;170;0;11
3/03/2020;DE;Germany;EURO;0;170;0;11
4/03/2020;DE;Germany;EURO;0;170;0;11
5/03/2020;DE;Germany;EURO;0;170;0;11
6/03/2020;DE;Germany;EURO;0;170;0;11
7/03/2020;DE;Germany;EURO;0;170;0;11
8/03/2020;DE;Germany;EURO;905;1075;12;23
9/03/2020;DE;Germany;EURO;0;1075;0;23
10/03/2020;DE;Germany;EURO;0;1075;0;23
11/03/2020;DE;Germany;EURO;0;1075;0;23
12/03/2020;DE;Germany;EURO;0;1075;0;23
13/03/2020;DE;Germany;EURO;0;1075;0;23
14/03/2020;DE;Germany;EURO;0;1075;0;23
15/03/2020;DE;Germany;EURO;6441;7516;84;107
16/03/2020;DE;Germany;EURO;0;7516;0;107
17/03/2020;DE;Germany;EURO;0;7516;0;107
18/03/2020;DE;Germany;EURO;0;7516;0;107
19/03/2020;DE;Germany;EURO;0;7516;0;107
20/03/2020;DE;Germany;EURO;0;7516;0;107
21/03/2020;DE;Germany;EURO;0;7516;0;107
22/03/2020;DE;Germany;EURO;22407;29923;479;586
23/03/2020;DE;Germany;EURO;0;29923;0;586
24/03/2020;DE;Germany;EURO;0;29923;0;586
25/03/2020;DE;Germany;EURO;0;29923;0;586
26/03/2020;DE;Germany;EURO;0;29923;0;586
27/03/2020;DE;Germany;EURO;0;29923;0;586
28/03/2020;DE;Germany;EURO;0;29923;0;586
29/03/2020;DE;Germany;EURO;33981;63904;1459;2045
30/03/2020;DE;Germany;EURO;0;63904;0;2045
31/03/2020;DE;Germany;EURO;0;63904;0;2045
1/04/2020;DE;Germany;EURO;0;63904;0;2045
2/04/2020;DE;Germany;EURO;0;63904;0;2045
3/04/2020;DE;Germany;EURO;0;63904;0;2045
4/04/2020;DE;Germany;EURO;0;63904;0;2045
5/04/2020;DE;Germany;EURO;36067;99971;2273;4318
6/04/2020;DE;Germany;EURO;0;99971;0;4318
7/04/2020;DE;Germany;EURO;0;99971;0;4318
8/04/2020;DE;Germany;EURO;0;99971;0;4318
9/04/2020;DE;Germany;EURO;0;99971;0;4318
10/04/2020;DE;Germany;EURO;0;99971;0;4318
11/04/2020;DE;Germany;EURO;0;99971;0;4318
12/04/2020;DE;Germany;EURO;27145;127116;1878;6196
13/04/2020;DE;Germany;EURO;0;127116;0;6196
14/04/2020;DE;Germany;EURO;0;127116;0;6196
15/04/2020;DE;Germany;EURO;0;127116;0;6196
16/04/2020;DE;Germany;EURO;0;127116;0;6196
17/04/2020;DE;Germany;EURO;0;127116;0;6196
18/04/2020;DE;Germany;EURO;0;127116;0;6196
19/04/2020;DE;Germany;EURO;17345;144461;1226;7422
20/04/2020;DE;Germany;EURO;0;144461;0;7422
21/04/2020;DE;Germany;EURO;0;144461;0;7422
22/04/2020;DE;Germany;EURO;0;144461;0;7422
23/04/2020;DE;Germany;EURO;0;144461;0;7422
24/04/2020;DE;Germany;EURO;0;144461;0;7422
25/04/2020;DE;Germany;EURO;0;144461;0;7422
26/04/2020;DE;Germany;EURO;12351;156812;727;8149
27/04/2020;DE;Germany;EURO;0;156812;0;8149
28/04/2020;DE;Germany;EURO;0;156812;0;8149
29/04/2020;DE;Germany;EURO;0;156812;0;8149
30/04/2020;DE;Germany;EURO;0;156812;0;8149
1/05/2020;DE;Germany;EURO;0;156812;0;8149
2/05/2020;DE;Germany;EURO;0;156812;0;8149
3/05/2020;DE;Germany;EURO;7442;164254;388;8537
4/05/2020;DE;Germany;EURO;0;164254;0;8537
5/05/2020;DE;Germany;EURO;0;164254;0;8537
6/05/2020;DE;Germany;EURO;0;164254;0;8537
7/05/2020;DE;Germany;EURO;0;164254;0;8537
8/05/2020;DE;Germany;EURO;0;164254;0;8537
9/05/2020;DE;Germany;EURO;0;164254;0;8537
10/05/2020;DE;Germany;EURO;6243;170497;258;8795
11/05/2020;DE;Germany;EURO;0;170497;0;8795
12/05/2020;DE;Germany;EURO;0;170497;0;8795
13/05/2020;DE;Germany;EURO;0;170497;0;8795
14/05/2020;DE;Germany;EURO;0;170497;0;8795
15/05/2020;DE;Germany;EURO;0;170497;0;8795
16/05/2020;DE;Germany;EURO;0;170497;0;8795
17/05/2020;DE;Germany;EURO;4775;175272;165;8960
18/05/2020;DE;Germany;EURO;0;175272;0;8960
19/05/2020;DE;Germany;EURO;0;175272;0;8960
20/05/2020;DE;Germany;EURO;0;175272;0;8960
21/05/2020;DE;Germany;EURO;0;175272;0;8960
22/05/2020;DE;Germany;EURO;0;175272;0;8960
23/05/2020;DE;Germany;EURO;0;175272;0;8960
24/05/2020;DE;Germany;EURO;3604;178876;111;9071
25/05/2020;DE;Germany;EURO;0;178876;0;9071
26/05/2020;DE;Germany;EURO;0;178876;0;9071
27/05/2020;DE;Germany;EURO;0;178876;0;9071
28/05/2020;DE;Germany;EURO;0;178876;0;9071
29/05/2020;DE;Germany;EURO;0;178876;0;9071
30/05/2020;DE;Germany;EURO;0;178876;0;9071
31/05/2020;DE;Germany;EURO;3206;182082;65;9136
1/06/2020;DE;Germany;EURO;0;182082;0;9136
2/06/2020;DE;Germany;EURO;0;182082;0;9136
3/06/2020;DE;Germany;EURO;0;182082;0;9136
4/06/2020;DE;Germany;EURO;0;182082;0;9136
5/06/2020;DE;Germany;EURO;0;182082;0;9136
6/06/2020;DE;Germany;EURO;0;182082;0;9136
7/06/2020;DE;Germany;EURO;2354;184436;44;9180
8/06/2020;DE;Germany;EURO;0;184436;0;9180
9/06/2020;DE;Germany;EURO;0;184436;0;9180
10/06/2020;DE;Germany;EURO;0;184436;0;9180
11/06/2020;DE;Germany;EURO;0;184436;0;9180
12/06/2020;DE;Germany;EURO;0;184436;0;9180
13/06/2020;DE;Germany;EURO;0;184436;0;9180
14/06/2020;DE;Germany;EURO;2348;186784;35;9215
15/06/2020;DE;Germany;EURO;0;186784;0;9215
16/06/2020;DE;Germany;EURO;0;186784;0;9215
17/06/2020;DE;Germany;EURO;0;186784;0;9215
18/06/2020;DE;Germany;EURO;0;186784;0;9215
19/06/2020;DE;Germany;EURO;0;186784;0;9215
20/06/2020;DE;Germany;EURO;0;186784;0;9215
21/06/2020;DE;Germany;EURO;4192;190976;41;9256
22/06/2020;DE;Germany;EURO;0;190976;0;9256
23/06/2020;DE;Germany;EURO;0;190976;0;9256
24/06/2020;DE;Germany;EURO;0;190976;0;9256
25/06/2020;DE;Germany;EURO;0;190976;0;9256
26/06/2020;DE;Germany;EURO;0;190976;0;9256
27/06/2020;DE;Germany;EURO;0;190976;0;9256
28/06/2020;DE;Germany;EURO;3167;194143;21;9277
29/06/2020;DE;Germany;EURO;0;194143;0;9277
30/06/2020;DE;Germany;EURO;0;194143;0;9277
1/07/2020;DE;Germany;EURO;0;194143;0;9277
2/07/2020;DE;Germany;EURO;0;194143;0;9277
3/07/2020;DE;Germany;EURO;0;194143;0;9277
4/07/2020;DE;Germany;EURO;0;194143;0;9277
5/07/2020;DE;Germany;EURO;2691;196834;26;9303
6/07/2020;DE;Germany;EURO;0;196834;0;9303
7/07/2020;DE;Germany;EURO;0;196834;0;9303
8/07/2020;DE;Germany;EURO;0;196834;0;9303
9/07/2020;DE;Germany;EURO;0;196834;0;9303
10/07/2020;DE;Germany;EURO;0;196834;0;9303
11/07/2020;DE;Germany;EURO;0;196834;0;9303
12/07/2020;DE;Germany;EURO;2429;199263;25;9328
13/07/2020;DE;Germany;EURO;0;199263;0;9328
14/07/2020;DE;Germany;EURO;0;199263;0;9328
15/07/2020;DE;Germany;EURO;0;199263;0;9328
16/07/2020;DE;Germany;EURO;0;199263;0;9328
17/07/2020;DE;Germany;EURO;0;199263;0;9328
18/07/2020;DE;Germany;EURO;0;199263;0;9328
19/07/2020;DE;Germany;EURO;3044;202307;31;9359
20/07/2020;DE;Germany;EURO;0;202307;0;9359
21/07/2020;DE;Germany;EURO;0;202307;0;9359
22/07/2020;DE;Germany;EURO;0;202307;0;9359
23/07/2020;DE;Germany;EURO;0;202307;0;9359
24/07/2020;DE;Germany;EURO;0;202307;0;9359
25/07/2020;DE;Germany;EURO;0;202307;0;9359
26/07/2020;DE;Germany;EURO;3936;206243;33;9392
27/07/2020;DE;Germany;EURO;0;206243;0;9392
28/07/2020;DE;Germany;EURO;0;206243;0;9392
29/07/2020;DE;Germany;EURO;0;206243;0;9392
30/07/2020;DE;Germany;EURO;0;206243;0;9392
31/07/2020;DE;Germany;EURO;0;206243;0;9392
1/08/2020;DE;Germany;EURO;0;206243;0;9392
2/08/2020;DE;Germany;EURO;4843;211086;37;9429
3/08/2020;DE;Germany;EURO;0;211086;0;9429
4/08/2020;DE;Germany;EURO;0;211086;0;9429
5/08/2020;DE;Germany;EURO;0;211086;0;9429
6/08/2020;DE;Germany;EURO;0;211086;0;9429
7/08/2020;DE;Germany;EURO;0;211086;0;9429
8/08/2020;DE;Germany;EURO;0;211086;0;9429
9/08/2020;DE;Germany;EURO;6067;217153;34;9463
10/08/2020;DE;Germany;EURO;0;217153;0;9463
11/08/2020;DE;Germany;EURO;0;217153;0;9463
12/08/2020;DE;Germany;EURO;0;217153;0;9463
13/08/2020;DE;Germany;EURO;0;217153;0;9463
14/08/2020;DE;Germany;EURO;0;217153;0;9463
15/08/2020;DE;Germany;EURO;0;217153;0;9463
16/08/2020;DE;Germany;EURO;7971;225124;31;9494
17/08/2020;DE;Germany;EURO;0;225124;0;9494
18/08/2020;DE;Germany;EURO;0;225124;0;9494
19/08/2020;DE;Germany;EURO;0;225124;0;9494
20/08/2020;DE;Germany;EURO;0;225124;0;9494
21/08/2020;DE;Germany;EURO;0;225124;0;9494
22/08/2020;DE;Germany;EURO;0;225124;0;9494
23/08/2020;DE;Germany;EURO;9580;234704;31;9525
24/08/2020;DE;Germany;EURO;0;234704;0;9525
25/08/2020;DE;Germany;EURO;0;234704;0;9525
26/08/2020;DE;Germany;EURO;0;234704;0;9525
27/08/2020;DE;Germany;EURO;0;234704;0;9525
28/08/2020;DE;Germany;EURO;0;234704;0;9525
29/08/2020;DE;Germany;EURO;0;234704;0;9525
30/08/2020;DE;Germany;EURO;8844;243548;18;9543
31/08/2020;DE;Germany;EURO;0;243548;0;9543
1/09/2020;DE;Germany;EURO;0;243548;0;9543
2/09/2020;DE;Germany;EURO;0;243548;0;9543
3/09/2020;DE;Germany;EURO;0;243548;0;9543
4/09/2020;DE;Germany;EURO;0;243548;0;9543
5/09/2020;DE;Germany;EURO;0;243548;0;9543
6/09/2020;DE;Germany;EURO;8609;252157;35;9578
7/09/2020;DE;Germany;EURO;0;252157;0;9578
8/09/2020;DE;Germany;EURO;0;252157;0;9578
9/09/2020;DE;Germany;EURO;0;252157;0;9578
10/09/2020;DE;Germany;EURO;0;252157;0;9578
11/09/2020;DE;Germany;EURO;0;252157;0;9578
12/09/2020;DE;Germany;EURO;0;252157;0;9578
