Name;WHORegion;Casescumulativetotal;Casescumulativetotalper100000population;Casesnewlyreportedinlast7days;Casesnewlyreportedinlast7daysper100000population;Casesnewlyreportedinlast24hours;Deathscumulativetotal;Deathscumulativetotalper100000population;Deathsnewlyreportedinlast7days;Deathsnewlyreportedinlast7daysper100000population;Deathsnewlyreportedinlast24hours
Global;;770875433;9,88994E+15;2751;3,52939E+16;0;6959316;8,92845E+14;25;3,20737E+16;0
United States of America;Americas;103436829;31249547;0;0;0;1127152;340527;0;0;0
China;Western Pacific;99311610;6749983;763;52;0;121714;8273;0;0;0
India;South-East Asia;44998525;3260752;231;17;0;532031;38553;0;0;0
France;Europe;38997490;59959831;0;0;0;167985;258282;0;0;0
Germany;Europe;38437756;46217718;0;0;0;174979;210395;0;0;0
Brazil;Americas;37720419;17745824;0;0;0;704659;331512;0;0;0
Republic of Korea;Western Pacific;34571873;67432071;0;0;0;35934;70089;0;0;0
Japan;Western Pacific;33803572;26727165;0;0;0;74694;59058;0;0;0
Italy;Europe;26007789;43606875;0;0;0;191469;321033;0;0;0
The United Kingdom;Europe;24715857;36407883;0;0;0;229307;337782;0;0;0
Russian Federation;Europe;23014969;15770757;0;0;0;400023;274111;0;0;0
Türkiye;Europe;17004677;20162278;0;0;0;101419;120252;0;0;0
Spain;Europe;13980340;29536378;0;0;0;121852;257438;0;0;0
Viet Nam;Western Pacific;11623571;11941381;110;113;0;43206;44387;0;0;0
Australia;Western Pacific;11600795;45493521;0;0;0;23601;92553;0;0;0
Argentina;Americas;10054576;22246717;0;0;0;130472;288682;0;0;0
Netherlands;Europe;8617412;49503777;0;0;0;22986;132046;0;0;0
Mexico;Americas;7686132;5961349;0;0;0;334586;259504;0;0;0
Iran (Islamic Republic of);Eastern Mediterranean;7616791;906837;969;1154;0;146386;174284;22;26;0
Indonesia;South-East Asia;6813429;2490984;0;0;0;161918;59197;0;0;0
Poland;Europe;6520928;17179262;0;0;0;119644;3152;0;0;0
Colombia;Americas;6381318;12541186;0;0;0;142977;280992;0;0;0
Austria;Europe;6081287;683209;0;0;0;22534;253161;0;0;0
Portugal;Europe;5610180;54489409;0;0;0;27247;264639;0;0;0
Ukraine;Europe;5518385;12618136;0;0;0;109904;251302;0;0;0
